ID,ERTS_number,County,City,Address1,Address2,Location,Latitude,Longitude,Medium,Incident_Category,Source_Type,Source,Oil_type,Quantity_total,QuantityToWater,Quantity_Imp,Quantity_recovered,Activity,Cause_Type,Cause,Regulated,Impact,Date_incident,CaseName,ReportID
240,661917,WHATCOM,BELLINGHAM,3920 AIRPORT WAY,,,48.78747,-122.52669,Storm Drain Pipe,Oil Spill,Vehicle,COMMERCIAL TRUCK,CHEMICAL,900.0,900.0,,,Z- OTHER,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,1/4/2016,DOT De-Icer spill to O/W Seperator,165513
242,661944,FRANKLIN,KAHLOTUS,,,Lower Monumental Dam,46.563132,-118.538987,Fresh water,Oil Spill,Facility,POWER GENERATION UTILITY,MINERAL OIL/TRANSFORMER OIL,2.0,2.0,,2.0,STATIC OR PERFORMING DESIGNED FUNCTION,ORG/MANAGEMENT FAILURE,EQUIPMENT/SYSTEM DESIGN,N,WATER POLLUTION,1/5/2016,Lower Monumental Dam spill 1/5/16,165535
243,662024,LEWIS,CHEHALIS,153 Hamilton Rd N,,Tyler Rental,46.61536,-122.92136,Ditch - Wet,Oil Spill,Vehicle,CONSTRUCTION/UTILITY VEHICLE,DIESEL/MARINE GAS OIL,2.0,2.0,,,NOT OPERATING OR PERFORMING DESIGNED FUN,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,"SOIL CONTAMINATION, WATER POLLUTION",1/6/2016,Tyler Rental Diesel Spill - Chehalis 1-6-15,165604
244,662033,WHATCOM,BELLINGHAM,201 HARRIS AVE,,FAIRHAVEN SHIPYARD,48.72016,-122.5143,Puget Sound,Oil Spill,Vessel,FISHING VESSEL,HYDRAULIC OIL,1.0,1.0,,,NOT OPERATING OR PERFORMING DESIGNED FUN,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,WATER POLLUTION,1/8/2016,FV MUIR MILACH hydraulic oil Bellingham 1/8/2016,165627
247,662060,PIERCE,BONNEY LAKE,18321 State Route 410 E,,,47.17563,-122.18515,Fresh water,Oil Spill,Facility,RETAIL PETROLEUM OUTLET,GASOLINE,3.0,3.0,,,FUELING (VESSEL),HUMAN ERROR,INATTENTION/DISTRACTION,N,WATER POLLUTION,1/8/2016,Gasoline Spill at Chevron in Sumner,165694
248,661934,THURSTON,TUMWATER,3000 R W Johnson Blvd SW,,Olympia School Bus Barn,47.021,-122.939,Storm Water Retention Pond - Wet,Oil Spill,Vehicle,TANK TRUCK,GASOLINE,96.0,96.0,,10.0,OIL TRANSFER (CARGO),"XTERNAL CONDITIONS,HUMAN ERROR,ORG/MANAGEMENT FAILURE","COMMUNICATIONS, INATTENTION/DISTRACTION, POOR OVERSIGHT, PROCEDURAL ERROR, RAIN, SNOW, TEMPERATURE",N,"CONTAMINATED ROADWAY/PARKING LOT, WATER POLLUTION",1/4/2016,Olympia School Bus Barn spill,165724
251,662173,KING,SHORELINE,183RD & AURORA,,,47.76137,-122.34537,Catch Basin - Wet,Oil Spill,Vehicle,COMMERCIAL TRUCK,HYDRAULIC OIL,20.0,20.0,,20.0,UNDERWAY OR IN MOTION,EQUIPMENT/MATERIAL FAILURE,MECHANICAL FAILURE,N,"CONTAMINATED ROADWAY/PARKING LOT, WATER POLLUTION",1/13/2016,"Cedar Grove Reclycing truck, oil spill, Shoreline",165772
252,662180,KING,SEATTLE,42ND & 7TH AVE NE,,,47.657522,-122.320869,Fresh water,Oil Spill,Vehicle,NON-COMMERCIAL VEHICLE,UNKNOWN,1.0,1.0,,0.0,UNDERWAY OR IN MOTION,UNKNOWN,UNKNOWN,N,WATER POLLUTION,1/13/2016,7th Ave NE Seattle Roadway Sheen,165777
253,662165,GRAYS HARBOR,HOQUIAM,904 Queen Ave,,,46.994303,-123.884587,Fresh water,Oil Spill,Facility,COMMERCIAL/INDUSTRIAL FACILITY,LUBE OIL/MOTOR OIL,20.0,20.0,,15.0,Z-OTHER,HUMAN ERROR,SABOTAGE/SUSPECTED ILLEGAL ACTIVITY,N,WATER POLLUTION,1/13/2016,Oil Dumping at Hoquiam pump station,165830
254,662051,KING,TUKWILA,MLK JR WAY & RYAN WAY,,,47.508005,-122.278065,Fresh water,Oil Spill,Vehicle,COMMERCIAL TRUCK,PAINT (OIL-BASED),20.0,20.0,,19.0,UNDERWAY OR IN MOTION,HUMAN ERROR,INATTENTION/DISTRACTION,N,,1/8/2016,Drywall Distributors Paint Spill Tukwila 1-8-2016,165821
255,662141,KING,SEATTLE,32ND AVE W & W GALER ST,,,47.632311,-122.398939,Catch Basin - Wet,Oil Spill,Unknown,UNKNOWN,DIESEL/MARINE GAS OIL,6.0,6.0,,5.0,Z- UNKNOWN,UNKNOWN,UNKNOWN,N,WATER POLLUTION,1/12/2016,Unknown Haz Mat Release Seattle,165866
